longitude,latitude,snowfall
21.7,57.6,0.012877250409165304
21.7,57.9,0.011236661211129297
21.7,58.2,0.011236661211129297
21.7,58.5,0.011236661211129297
21.7,58.8,0.013023895253682487
21.7,59.1,0.01298723404255319
21.7,59.4,0.012978068739770868
21.7,59.7,0.01230441898527005
22.2,57.6,0.012698527004909983
22.2,57.9,0.011236661211129297
22.2,58.2,0.011818657937806874
22.2,58.5,0.012107364975450082
22.2,58.8,0.012029459901800328
22.2,59.1,0.012029459901800328
22.2,59.4,0.013395090016366613
22.2,59.7,0.012890998363338789
22.7,57.6,0.014004582651391163
22.7,57.9,0.012895581014729951
22.7,58.2,0.012895581014729951
22.7,58.5,0.01237315875613748
22.7,58.8,0.01230441898527005
22.7,59.1,0.01230441898527005
22.7,59.4,0.01402291325695581
22.7,59.7,0.016625859247135843
23.2,57.6,0.01551227495908347
23.2,57.9,0.014527004909983633
23.2,58.2,0.014128314238952538
23.2,58.5,0.01395417348608838
23.2,58.8,0.01395417348608838
23.2,59.1,0.01395417348608838
23.2,59.4,0.015021931260229134
23.2,59.7,0.016625859247135843
23.7,57.6,0.015237315875613748
23.7,57.9,0.015613093289689035
23.7,58.2,0.014989852700490998
23.7,58.5,0.014989852700490998
23.7,58.8,0.015296890343698855
23.7,59.1,0.015017348608837971
23.7,59.4,0.01544353518821604
23.7,59.7,0.01912340425531915
24.2,57.6,0.017194108019639935
24.2,57.9,0.015425204582651392
24.2,58.2,0.015425204582651392
24.2,58.5,0.015613093289689035
24.2,58.8,0.016286743044189853
24.2,59.1,0.01582847790507365
24.2,59.4,0.01544353518821604
24.2,59.7,0.016873322422258592
24.7,57.6,0.015947626841243862
24.7,57.9,0.01666252045826514
24.7,58.2,0.016254664484451717
24.7,58.5,0.016557119476268412
24.7,58.8,0.01718036006546645
24.7,59.1,0.017294926350245498
24.7,59.4,0.015741407528641574
24.7,59.7,0.015741407528641574
25.2,57.6,0.01637381342062193
25.2,57.9,0.01786317512274959
25.2,58.2,0.01758363338788871
25.2,58.5,0.017780687397708675
25.2,58.8,0.017748608837970543
25.2,59.1,0.017803600654664485
25.2,59.4,0.016240916530278232
25.2,59.7,0.01603469721767594
25.7,57.6,0.016089689034369886
25.7,57.9,0.01779443535188216
25.7,58.2,0.0175607201309329
25.7,58.5,0.017931914893617024
25.7,58.8,0.017991489361702126
25.7,59.1,0.018862193126022914
25.7,59.4,0.017079541734860884
25.7,59.7,0.016625859247135843
26.2,57.6,0.016218003273322422
26.2,57.9,0.017872340425531916
26.2,58.2,0.016708346972176758
26.2,58.5,0.017226186579378067
26.2,58.8,0.018454337152209493
26.2,59.1,0.019384615384615386
26.2,59.4,0.01806481178396072
26.2,59.7,0.018142716857610475
26.7,57.6,0.018298527004909984
26.7,57.9,0.01723076923076923
26.7,58.2,0.016470049099836334
26.7,58.5,0.01697872340425532
26.7,58.8,0.01813355155482815
26.7,59.1,0.01912798690671031
26.7,59.4,0.018229787234042557
26.7,59.7,0.018229787234042557
27.2,57.6,0.019338788870703765
27.2,57.9,0.01596137479541735
27.2,58.2,0.01628216039279869
27.2,58.5,0.016841243862520457
27.2,58.8,0.016841243862520457
27.2,59.1,0.018752209492635025
27.2,59.4,0.01872013093289689
27.2,59.7,0.019526677577741406
27.7,57.6,0.017835679214402617
27.7,57.9,0.01630049099836334
27.7,58.2,0.016694599018003273
27.7,58.5,0.017551554828150573
27.7,58.8,0.017551554828150573
27.7,59.1,0.019545008183306057
27.7,59.4,0.019384615384615386
27.7,59.7,0.019673322422258593
28.2,57.6,0.017093289689034372
28.2,57.9,0.01806022913256956
28.2,58.2,0.019095908346972175
28.2,58.5,0.019402945990180033
28.2,58.8,0.01892635024549918
28.2,59.1,0.01934795417348609
28.2,59.4,0.01917381342062193
28.2,59.7,0.01917381342062193
