latitude,longitude
58.2,22.2
58.49999999999999,22.2
58.49999999999999,22.7
58.79999999999999,22.7
58.49999999999999,23.2
58.49999999999999,23.7
58.79999999999999,23.7
59.09999999999999,23.7
58.49999999999999,24.2
58.79999999999999,24.2
59.09999999999999,24.2
59.399999999999984,24.2
58.2,24.7
58.49999999999999,24.7
58.79999999999999,24.7
59.09999999999999,24.7
59.399999999999984,24.7
58.2,25.2
58.49999999999999,25.2
58.79999999999999,25.2
59.09999999999999,25.2
59.399999999999984,25.2
58.2,25.7
58.49999999999999,25.7
58.79999999999999,25.7
59.09999999999999,25.7
59.399999999999984,25.7
57.9,26.2
58.2,26.2
58.49999999999999,26.2
58.79999999999999,26.2
59.09999999999999,26.2
59.399999999999984,26.2
57.6,26.7
57.9,26.7
58.2,26.7
58.49999999999999,26.7
58.79999999999999,26.7
59.09999999999999,26.7
59.399999999999984,26.7
57.6,27.2
57.9,27.2
58.2,27.2
58.49999999999999,27.2
59.09999999999999,27.2
59.399999999999984,27.2
57.9,27.7
59.09999999999999,27.7
59.399999999999984,27.7
